Allegro Report,,,,,
184-000309RevA.brd,,,,,
Mon Aug 25 10:25:07 2014,,,,,
,,,,,
REFDES,SYM_NAME,SYM_CENTER_X,SYM_CENTER_Y,SYM_ROTATE,SYM_MIRROR
U13,DIODES_PAM2306AYPKB,3365,3615.04,270,TOP
U14,EON_SILICON_SOLUTION_EN25Q64-104HIP,3110,3960,270,TOP
U15,NJR_NJM2904L,2165,4095,90,TOP
U16,RENESAS_R5S726B0D216FP,3010,4841.97,270,TOP
U17,ALTERA_5M570ZT100I5N,1640,4955,0,TOP
U18,TOSHIBA_TC78H600FTG,1615,5750,90,TOP
U19,ROHM_BD46282G-TR,2355,5385,0,TOP
U20,ST_M41T94MQ6E,1030,4242.5,180,TOP
U21,ST_M25P16-VMF6P,490,3826,0,TOP
U22,MICROCHIP_25AA320-I_SN,1972.5,2405,90,TOP
U23,AD_AD628ARZ,2085,1617,180,TOP
U24,MICROCHIP_MCP121-300E_TO,1069.95,2685,270,TOP
U25,ROHM_BU18TD3WG-TR,1055,4525,0,TOP
U26,MICROCHIP_PIC12F508-I_SN,3400,4025,270,TOP
VR1,NATIONAL_LM2940S,944.25,453.75,90,TOP
VR2,TI_LP2981-33DBVR,419,580.5,0,TOP
VR3,NATIONAL_LM317T,705,2570,0,TOP
Y1,MURATA_CSTCE8M00G55-R0,2835,2852,90,TOP
Y2,ABRACON_ABM8,2200,4900,180,TOP
Y3,EPSON_C-001R_32_768K-A,1482.25,4385,270,TOP
